기준_날짜,행정동_ID,승객_수
2023-07-09,1106084,4638.0
2023-10-03,1102067,2588.0
2023-08-09,1124060,22617.0
2023-03-04,1111060,7183.0
2023-02-22,1102065,6176.0
2023-11-14,1103051,5947.0
2023-12-19,1101068,107.0
2023-05-23,1105058,3833.0
2023-07-23,1120073,26041.0
2023-04-10,1102071,24796.0
2023-06-26,1117072,33413.0
2023-05-20,1121078,12030.0
2023-03-19,1119072,31732.0
2023-03-27,1118058,7239.0
2023-09-19,1123064,158052.0
2023-07-24,1111065,20370.0
2023-09-29,1125058,6729.0
2023-12-25,1106086,7169.0
2023-12-12,1124054,3234.0
2023-01-09,1115070,12360.0
2023-12-07,1108077,17709.0
2023-05-22,1110056,4744.0
2023-12-09,1113071,4417.0
2023-12-07,1119076,38056.0
2023-03-21,1115072,32127.0
2023-08-25,1107072,29105.0
2023-11-23,1102068,5304.0
2023-11-22,1119063,21459.0
2023-09-04,1103052,16575.0
2023-08-06,1117067,7505.0
2023-05-01,1119066,3101.0
2023-05-13,1122066,52233.0
2023-04-06,1111078,27398.0
2023-04-19,1113071,6522.0
2023-11-13,1119061,14213.0
2023-12-20,1115070,14281.0
2023-02-25,1111065,17944.0
2023-12-02,1110052,7659.0
2023-01-27,1119065,6761.0
2023-11-07,1121058,17641.0
2023-12-09,1104072,3764.0
2023-01-07,1106084,6243.0
2023-04-30,1101057,1471.0
2023-09-22,1123052,84304.0
2023-11-20,1125063,4634.0
2023-04-05,1111060,9000.0
2023-06-16,1111060,9327.0
2023-02-02,1119065,6631.0
2023-06-26,1116071,38504.0
2023-08-06,1125058,9124.0
2023-10-08,1112066,11018.0
2023-08-26,1106073,9193.0
2023-02-25,1125058,14782.0
2023-10-25,1113065,6041.0
2023-07-30,1119067,2397.0
2023-08-13,1108068,6889.0
2023-11-20,1116051,13968.0
2023-11-19,1114061,2376.0
2023-06-20,1117052,4242.0
2023-07-09,1114077,19405.0
2023-07-10,1125070,12169.0
2023-06-07,1111052,14763.0
2023-03-31,1115063,6717.0
2023-06-03,1104054,9053.0
